Fecha_orden,ID_orden,id_producto,Fecha_de_Envio,Cantidad
03/03/2019,US-2019-130421,10-LI-180,07/03/2019,3
13/01/2019,US-2019-162775,10-LI-181,15/01/2019,3
13/01/2019,US-2019-157147,10-LI-182,18/01/2019,5
06/02/2019,US-2019-131905,10-LI-183,09/02/2019,1
07/01/2019,US-2019-105417,10-LI-184,12/01/2019,7
07/02/2019,US-2019-169390,10-ME-185,10/02/2019,4
20/01/2019,US-2019-167927,10-ME-186,26/01/2019,5
05/03/2019,US-2019-169061,10-ME-187,08/03/2019,2
18/02/2019,US-2019-152905,10-ME-188,24/02/2019,2
23/01/2019,US-2019-146997,10-MU-189,27/01/2019,3
06/01/2019,US-2019-167199,10-MU-190,10/01/2019,4
20/01/2019,US-2019-147627,10-MU-191,26/01/2019,7
02/03/2019,US-2019-107524,10-MU-192,08/03/2019,5
02/02/2019,US-2019-123400,10-MU-193,09/02/2019,5
16/01/2019,US-2019-115791,10-MU-194,18/01/2019,3
06/02/2019,US-2019-131905,10-MU-195,09/02/2019,5
06/02/2019,US-2019-131905,10-MU-196,09/02/2019,4
10/01/2019,US-2019-149020,10-MU-196,15/01/2019,1
11/02/2019,US-2019-168368,10-MU-196,15/02/2019,3
03/03/2019,US-2019-127978,10-MU-196,08/03/2019,3
04/01/2019,US-2019-112326,10-MU-196,08/01/2019,3
03/02/2019,US-2019-111059,10-MU-201,06/02/2019,3
06/02/2019,US-2019-108182,10-MU-202,10/02/2019,2
05/01/2019,US-2019-141817,10-MU-203,12/01/2019,3
14/03/2019,US-2019-157623,10-MU-204,18/03/2019,1
13/01/2019,US-2019-118192,10-MU-205,18/01/2019,2
27/01/2019,US-2019-117163,10-MU-206,02/02/2019,3
14/02/2019,US-2019-121762,10-MU-207,18/02/2019,2
03/03/2019,US-2019-105648,10-SI-208,07/03/2019,3
01/03/2019,US-2019-168312,10-SI-209,07/03/2019,3
04/03/2019,US-2019-117016,10-SI-210,09/03/2019,3
01/03/2019,US-2019-113880,10-SI-211,05/03/2019,3
10/03/2019,US-2019-140116,10-SI-212,17/03/2019,4
13/01/2019,US-2019-162775,10-SI-213,15/01/2019,3
03/03/2019,US-2019-127964,10-SI-214,08/03/2019,5
07/03/2019,US-2019-156587,10-SI-215,08/03/2019,3
14/03/2019,US-2019-114510,10-SI-216,19/03/2019,1
07/03/2019,US-2019-131982,10-SI-217,11/03/2019,2
14/02/2019,US-2019-121762,10-SI-218,18/02/2019,2
07/03/2019,US-2019-104563,20-AJ-219,12/03/2019,5
13/03/2019,CA-2019-139675,20-AJ-220,18/03/2019,8
16/01/2019,US-2019-115791,20-AJ-221,18/01/2019,6
01/03/2019,US-2019-131009,20-AJ-221,05/03/2019,6
18/02/2019,US-2019-165589,20-AJ-222,18/02/2019,5
21/01/2019,CA-2019-115238,20-AJ-223,24/01/2019,1
11/01/2019,US-2019-130092,20-AL-224,14/01/2019,2
06/01/2019,US-2019-106054,20-AL-225,07/01/2019,3
27/01/2019,US-2019-117163,20-AL-226,02/02/2019,4
11/03/2019,US-2019-103338,20-AL-227,15/03/2019,3
21/01/2019,CA-2019-115238,20-AL-228,24/01/2019,5
20/01/2019,US-2019-167927,20-AL-228,26/01/2019,3
20/01/2019,US-2019-147627,20-AL-228,26/01/2019,4
20/01/2019,US-2019-148614,20-AL-228,25/01/2019,2
20/01/2019,US-2019-167927,20-AL-228,26/01/2019,1
26/01/2019,US-2019-155502,20-AL-228,31/01/2019,3
21/01/2019,CA-2019-115238,20-AL-228,24/01/2019,5
03/03/2019,US-2019-127978,20-AL-228,08/03/2019,8
11/03/2019,US-2019-166884,20-AL-228,16/03/2019,5
01/02/2019,US-2019-140795,20-AL-236,03/02/2019,6
11/02/2019,US-2019-127614,20-AL-236,15/02/2019,3
20/02/2019,US-2019-109491,20-AL-237,26/02/2019,3
26/01/2019,US-2019-155502,20-AL-238,31/01/2019,3
01/03/2019,US-2019-131009,20-AL-239,05/03/2019,3
20/01/2019,US-2019-167927,20-AL-240,26/01/2019,2
18/01/2019,US-2019-123477,20-AL-241,21/01/2019,4
11/02/2019,US-2019-168368,20-AR-242,15/02/2019,2
11/03/2019,US-2019-114790,20-AR-243,13/03/2019,3
13/01/2019,US-2019-162775,20-AR-244,15/01/2019,6
20/01/2019,US-2019-147774,20-AR-245,26/01/2019,1
16/01/2019,US-2019-115791,20-AR-246,18/01/2019,2
23/02/2019,US-2019-103744,20-AR-247,27/02/2019,3
04/02/2019,US-2019-107181,20-AR-248,08/02/2019,3
04/01/2019,US-2019-112326,20-AR-249,08/01/2019,2
21/02/2019,US-2019-165540,20-AR-249,25/02/2019,5
19/01/2019,US-2019-146591,20-AR-250,20/01/2019,10
04/02/2019,US-2019-104808,20-AR-250,08/02/2019,2
05/03/2019,US-2019-169061,20-AR-251,08/03/2019,6
14/03/2019,US-2019-114510,20-AR-251,19/03/2019,4
06/01/2019,US-2019-167199,20-AR-252,10/01/2019,2
26/01/2019,US-2019-155502,20-AR-253,31/01/2019,3
10/03/2019,US-2019-100279,20-AR-254,14/03/2019,2
14/03/2019,US-2019-125521,20-AR-255,19/03/2019,4
06/01/2019,US-2019-167199,20-AR-256,10/01/2019,9
01/03/2019,US-2019-104269,20-AR-256,06/03/2019,2
13/03/2019,CA-2019-139675,20-AR-256,18/03/2019,4
12/02/2019,US-2019-110674,20-AR-257,18/02/2019,2
13/01/2019,US-2019-109232,20-AR-258,16/01/2019,6
07/03/2019,US-2019-104563,20-AR-259,12/03/2019,2
07/03/2019,US-2019-156587,20-ET-260,08/03/2019,1
11/02/2019,US-2019-168368,20-ET-261,15/02/2019,1
01/03/2019,US-2019-131009,20-ET-262,05/03/2019,6
14/03/2019,US-2019-152618,20-ET-263,17/03/2019,2
16/02/2019,US-2019-122567,20-ET-264,21/02/2019,2
20/01/2019,US-2019-167927,20-ET-265,26/01/2019,4
11/02/2019,US-2019-127614,20-ET-266,15/02/2019,6
20/01/2019,US-2019-147627,20-LI-267,26/01/2019,3
10/01/2019,US-2019-149020,20-LI-268,15/01/2019,1
07/01/2019,US-2019-105417,20-LI-269,12/01/2019,3
02/03/2019,US-2019-111157,20-LI-270,06/03/2019,3
06/01/2019,US-2019-167199,20-LI-271,10/01/2019,2
03/02/2019,US-2019-111059,20-LI-272,06/02/2019,2
03/03/2019,US-2019-127964,20-LI-272,08/03/2019,3
21/01/2019,CA-2019-115238,20-PA-273,24/01/2019,10
14/03/2019,US-2019-114510,20-PA-274,19/03/2019,12
26/01/2019,US-2019-155502,20-PA-275,31/01/2019,2
15/01/2019,US-2019-103366,20-PA-276,17/01/2019,5
14/02/2019,US-2019-121762,20-PA-277,18/02/2019,3
05/03/2019,US-2019-169061,20-PA-278,08/03/2019,3
26/01/2019,US-2019-155502,20-PA-279,31/01/2019,13
20/02/2019,US-2019-109491,20-PA-280,26/02/2019,4
08/02/2019,US-2019-125759,20-PA-281,09/02/2019,2
07/02/2019,US-2019-107755,20-PA-282,12/02/2019,7
11/03/2019,US-2019-114790,20-PA-282,13/03/2019,2
14/02/2019,US-2019-107706,20-PA-283,19/02/2019,3
09/01/2019,US-2019-135405,20-PA-284,13/01/2019,3
04/02/2019,US-2019-107181,20-PA-285,08/02/2019,4
03/01/2019,US-2019-103800,20-PA-286,07/01/2019,2
24/02/2019,US-2019-137680,20-PA-286,02/03/2019,4
09/01/2019,US-2019-135405,20-PA-287,13/01/2019,2
20/01/2019,US-2019-147627,20-PA-287,26/01/2019,3
07/03/2019,US-2019-156587,20-PA-287,08/03/2019,3
05/03/2019,US-2019-169061,20-PA-287,08/03/2019,3
20/01/2019,US-2019-147627,20-PA-287,26/01/2019,7
07/03/2019,US-2019-104563,20-PA-287,12/03/2019,5
01/03/2019,US-2019-113880,20-PA-293,05/03/2019,6
